Property Address,Property City,Property State,Property Type,Building SF,Star Rating,Sale Price,Price Per SF,Sale Date,Sale Status,Asking Price,Actual Cap Rate,Pro Forma Cap Rate,Property Name,Buyer (True) Company,Acquisition Fund Name,Buyer (True) Origin,Buyers Broker Company,Seller (True) Company,Disposition Fund Name,Seller (True) Origin,Listing Broker Company,Secondary Type,Building Class,Year Built,Number Of Units,Land Area AC,Land Area SF,Number Of Floors,Ceiling Height,Zoning,Submarket Name,Location Type,Property County,Country,Subcontinent,Continent,Property Zip Code,Corner,Map Code,Price Per AC Land,Price Per SF Land,Number Of Beds,Vacancy,University,Price Per Unit,Recording Date,Publication Date,Non-Arms Length Reasons,Sale Price Comment,Research Status,Affordable Type,Age,All-Inclusive,All-Suites,Amenities,Anchor Tenants,Assessed Improved,Assessed Land,Assessed Value,Assessed Year,Avg Unit SF,Brand,Building Condition,Building Materials,Building Operating Expenses,Building Park,Building Tax Expenses,Buyer (True) Address,Buyer (True) City,Buyer (True) Contact,Buyer (True) Phone,Buyer (True) Post-Direction,Buyer (True) Pre-Direction,Buyer (True) Secondary Type,Buyer (True) State,Buyer (True) Street Name,Buyer (True) Street Number,Buyer (True) Type,Buyer (True) Zip Code,Buyer Address,Buyer City,Buyer Company,Buyer Contact,Buyer Phone,Buyer State,Buyer Street Name,Buyer Street Number,Buyer Street Post-Direction,Buyer Street Pre-Direction,Buyer Zip Code,Buyers Broker Address,Buyers Broker Agent First Name,Buyers Broker Agent Last Name,Buyers Broker City,Buyers Broker Phone,Buyers Broker State,Buyers Broker Street Name,Buyers Broker Street Number,Buyers Broker Street Post-Direction,Buyers Broker Street Pre-Direction,Buyers Broker Zip Code,Column Spacing,Comp ID,Comps Number,Construction Begin,Construction Material,Coverage,Cross Street,Description Text,Document Number,Down Payment,Drive Ins,Fips Code,Fire Sprinkler,First Trust Deed Balance,First Trust Deed Lender,First Trust Deed Payment,First Trust Deed Terms,Flood Risk,Flood Zone,Floor Area Ratio,Frontage,GIM,GRM,Gross Income,Heating,Hold Period,Hotel Class,Hotel Location Type,Hotel Operator,Improvement Ratio,Land Improvements,Land SF Gross,Land SF Net,Latitude,Legal Description,Listing Broker Address,Listing Broker Agent First Name,Listing Broker Agent Last Name,Listing Broker City,Listing Broker Phone,Listing Broker State,Listing Broker Street Name,Listing Broker Street Number,Listing Broker Street Post-Direction,Listing Broker Street Pre-Direction,Listing Broker Zip Code,Loading Docks,Longitude,Lot Dimensions,Map Page,Map X,Map Y,Market,Market Time,Multi-Sale Name,Net Income,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Number Of 3 Bedrooms Units,Number Of Cranes,Number Of Other Bedrooms Units,Number Of Parking Spaces,Number Of Rooms,Number Of Studios Units,Number Of Tenants,Office Space,One Bedroom Mix,Other Mix,Parcel Number 1 (Min),Parcel Number 2 (Max),Parent Company,Parking Ratio,Percent Leased,Percent Office,Portfolio City,Portfolio County,Portfolio Name,Portfolio State,Portfolio Zip,Power,Pre-Leasing,Price Per AC Land Net,Price Per Room,Price Per SF (Net),Price Per SF Land Net,Property Street Name,Property Street Number,Property Street Post-Direction,Property Street Pre-Direction,PropertyID,Proposed Use,Rail Served,Region,Roof Type,Sale Condition,Sale Type,Scale,Second Trust Deed Balance,Second Trust Deed Lender,Second Trust Deed Payment,Second Trust Deed Terms,Seller (True) Address,Seller (True) City,Seller (True) Contact,Seller (True) Phone,Seller (True) Post-Direction,Seller (True) Pre-Direction,Seller (True) Secondary Type,Seller (True) State,Seller (True) Street Name,Seller (True) Street Number,Seller (True) Type,Seller (True) Zip Code,Seller Address,Seller City,Seller Company,Seller Contact,Seller Phone,Seller State,Seller Street Name,Seller Street Number,Seller Street Post-Direction,Seller Street Pre-Direction,Seller Zip Code,Sewer,Size,Sprinklers,Sprinklers,Stamp,Studio Mix,Submarket Cluster,Submarket Code,Tenancy,Three Bedroom Mix,Title Company,Total Expense Amount,Transaction Notes,Transfer Tax,Two Bedroom Mix,Typical Floor (SF),Units Per Acre,Water,Year Renovated
3562 Jasmine Ave (Part of a 2 Property Sale),Los Angeles,CA,Multi-Family,"6,722",2 Star,"$1,727,856",257.04,3/9/2023,Sold,,,,Multi-Property Sale,Allison L Heyen,,National,Berkshire Hathaway HomeServices (California),Elderwell,,Local,Berkshire Hathaway HomeServices (California),Apartments,C,1958,11,0.17,7405,2,,LAR3,Palms,Urban,Los Angeles,United States,North America,Americas,90034-4943,,,"10,164,133.34",233.34,,4.1,,"157,078",3/9/2023,3/20/2023,,Allocated,Research Complete,,65,No,No,,,"293,828","162,589","456,417",2022,,,Adequate,Reinforced Concrete,,,,3805 N Crest Dr,Manhattan Beach,Allison Heyen,3105451655,,N,Individual,CA,Crest Dr,3805,Private,90266,3570 Jasmine Ave,Los Angeles,3570 Jasmine Llc,,,CA,Jasmine Ave,3570,,,90034,131 S Rodeo Dr,Matias,Baker Masucci,Beverly Hills,3107777800,CA,Rodeo Dr,131,,S,90212-2425,,6337224,,,Reinforced Concrete,0.453870253335494,,,0150555,,,06037,,"1,850,000",JPMorgan Bank NA,,Lender Name: Jpmorgan Chase Bank National,Yes,B and X,0.91,,,,,,20+ Years,,,,64.38,,,,34.0264489,,131 S Rodeo Dr,Brian,Joy,Beverly Hills,3107777800,CA,Rodeo Dr,131,,S,90212-2425,,-118.4050914,,,,,Los Angeles,93,,,0,0,0,,0,10,,11,,,,,4313-002-011,4313-002-011,,1.05,100.00%,,Los Angeles,Los Angeles,,CA,,,,,,257.04,,Jasmine Ave,3562,,,5446201,,,,,,Investment,Independent,,,,,"6345 Balboa Blvd, 114",Encino,Aileen Federizo,8184364684,,,Corporation,CA,Balboa Blvd,6345,User,91316-1519,,,Rose Joyce Living Trust,,,,,,,,,,"6,722",,,,11(0 + 0) ,Greater Culver City,1ES       ,,,,,"On 3/9/2023, the 21-unit multifamily complex at 3562 and 3570 Jasmine Ave sold to a private investor for $4.05 million. Built in 1958, the two properties total in 15,756 square feet and sit on two, neighboring 0.17-acre parcels of land. 

The property was on the market for approximately 3 months with an initial asking price of $4.1 million. 

All details mentioned above were verified and deemed correct by a reliable source.",,,3361,,,
1714 5th St (Part of a 67 Property Portfolio),Santa Monica,CA,Multi-Family,"6,996",2 Star,,,3/9/2023,Sold,,,,,USAA Real Estate,,National,,Square Mile Capital,,National,,Apartments,C,1952,9,0.19,8342,2,,"R3, Santa Monica",Downtown Santa Monica,Urban,Los Angeles,United States,North America,Americas,90401-3328,,671-E2,,,,6.6,,,,3/17/2023,,,Research Complete - New Info,,71,No,No,,,,,,2022,,,Adequate,Wood Frame,2021 Tax @ $2453.78/Unit,,2021 Tax @ $2453.78/Unit,"9830 Colonnade Blvd, 600",San Antonio,,8005318182,,,Equity Funds,TX,Colonnade Blvd,9830,Private Equity,78230,,,,,,,,,,,,,,,,,,,,,,,,6335416,,,Wood Frame,0.419336972861777,,"Location Corner: SW


Property Description: Multi Family   -  9 Units",,,,06037,,,,,,Yes,B and X,0.84,,,,,,54 Months,,,,,,,,34.012283,,,,,,,,,,,,,,-118.488995,,671,E,2,Los Angeles,,USAA Real Estate and Square Mile Capital,,0,0,0,,0,14,,9,176,,,,4290-006-012,4290-006-013,,1.68,100.00%,,Multiple,Multiple,USAA Real Estate and Square Mile Capital,Multiple,,,,,,,,5th St,1714,,,4502824,,,,,Bulk/Portfolio Sale,Investment,Independent,,,,,277 Park Ave,New York,,2126051000,,,Investment Manager,NY,Park Ave,277,Institutional,10172-0003,,,,,,,,,,,,,"6,996",,,,,Santa Monica,8FS       ,,,,,"Under the merger of USAA Real Estate and Square Mile Capital the new Corporate Brand will be known as Affinius Capital. USAA Real Estate acquired the balance of Square Mile Capital in 2021.

This transaction is currently under research, more properties to be added as soon as ownership is confirmed.",,,3498,,,
1706 N Stanley Ave,West Hollywood,CA,Multi-Family,"5,400",2 Star,"$1,800,000",333.33,3/8/2023,Sold,,3.60,,,Herssel Rahimian,,Local,KW Commercial,Michael & Loretta Bradley,,Local,KW Commercial,Apartments,C,1951,6,0.13,5502,2,,LAR3,Hollywood Hills,Urban,Los Angeles,United States,North America,Americas,90046-2246,,593-C4,"14,250,817.88",327.15,,4.8,,"300,000",3/8/2023,3/13/2023,,Confirmed,Research Complete,,72,No,No,,,"406,247","369,315","775,562",2022,,,Good,,,,,1449 Jonesboro Dr,Los Angeles,Herssel Rahimian,2136243040,,,Individual,CA,Jonesboro Dr,1449,Private,90049,,,1706 North Stanley LLC,,,,,,,,,4061 Laurel Canyon Blvd,Rich,Johns,Studio City,8184321500,CA,Laurel Canyon Blvd,4061,,,91604-2016,,6331401,,,,0.490763824816945,,,0147235,,,06037,,"686,000",JP Morgan Chase Bank,,,Yes,B and X,0.98,,,,,,34 Months,,,,52.38,,,,34.1019164,,4061 Laurel Canyon Blvd,Rich,Johns,Studio City,8184321500,CA,Laurel Canyon Blvd,4061,,,91604-2016,,-118.3559999,50.000x110.000,593,C,4,Los Angeles,,,"64,800",0,0,0,,0,10,,6,,,,,5551-011-007,5551-011-007,,1.85,,,West Hollywood,Los Angeles,,CA,,,,,,333.33,,Stanley Ave,1706,,N,4207961,,,,,,Investment,Independent,,,,,3321 Rowena Ave,Los Angeles,Michael Bradley,3236619155,,,Individual,CA,Rowena Ave,3321,Private,90027,,,,,,,,,,,,,"5,400",,,,,Hollywood,3ET       ,,,JP Morgan Chase Bank,,"On March 8th, 2023, a multi-family property in Los Angeles County was sold for $1,800,000 or $300,000 per unit with a 3.6% cap rate.

The two-story 5,400 square-foot parcel is well situated at 1706 North Stanley Ave in West Hollywood, California 90046.

All details of this transaction were verified through the listing brokers, and the buyer's brokers.",,,2700,,,
1108 W 166th St,Gardena,CA,Multi-Family,"4,810",2 Star,"$1,325,000",275.47,3/7/2023,Sold,,2.20,9.40,,Daniel Murillo,,Local,,Betty Davis,,National,RE/MAX Execs,Apartments,C,1960,8,0.18,7841,2,,GAR3,Gardena,Urban,Los Angeles,United States,North America,Americas,90247-4848,,,"7,360,923.35",168.98,,0.2,,"165,625",3/7/2023,3/8/2023,,Confirmed,Research Complete,,63,No,No,,,"342,772","191,058","533,830",2022,,,Adequate,,2022 Est Tax @ $30921.87/Unit; 2023 Ops @ $4829.63/Unit,,2022 Est Tax @ $30921.87/Unit; 2023 Ops @ $4829.63/Unit,"19300 S Hamilton Ave, 285",Gardena,Daniel Murillo,2139154359,,S,Individual,CA,Hamilton Ave,19300,Private,90248-4400,"17725 Crenshaw Blvd, 300",Torrance,New Caprica LLC,,7146341500,CA,Crenshaw Blvd,17725,,,90504-4138,,,,,,,,,,,,,6327481,,,,0.306728905213754,,,0143036,,,06037,,,,,,Yes,B and X,0.61,,,,"69,900",,5 Months,,,,64.21,,,,33.8798436,,"23740 Hawthorne Blvd, 201",Scott,Briscoe,Torrance,3103789889,CA,Hawthorne Blvd,23740,,,90505-8206,,-118.293678,,,,,Los Angeles,,,"29,166",6,2,0,,0,11,,0,,,6(1 + 1) ,,6111-009-022,6111-009-022,,1.66,,,Gardena,Los Angeles,,CA,,,,,,275.47,,166th St,1108,,W,13792786,,,,,,Investment,Independent,,,,,3618 Sierra Dr,Stockbridge,Betty Davis,4047177409,,,Individual,GA,Sierra Dr,3618,Private,30281,3618 Sierra Dr,Stockbridge,Betty Davis,,4047177409,GA,Sierra Dr,3618,,,30281,,"4,810",,,,,South Bay,4EW       ,,,,"38,637.00","1108 W 166th St, Gardena, CA was sold for $1,325,000 as an investment sale on 3/7/2023. This sale closed with a 2.20% cap rate and a 9.36% proforma cap rate. With 8 units, 1108 W 166th St property sports 4,810 SF and rests upon a parcel totalling 0.18 AC zoned GAR3 in Los Angeles County, Gardena, California. Information regarding this sale was confirmed by the listing broker and public record.",,2(2 + 1) ,2405,,,
4834 Saturn St,Los Angeles,CA,Multi-Family,"3,956",2 Star,"$1,225,000",309.66,3/7/2023,Sold,,3.22,,,Sepehr Kamjoo,,Local,,"Barajas, Elena",,National,Equity Union Real Estate,Apartments,C,1959,6,0.16,7001,2,,LARD1.5,Mid-City,Urban,Los Angeles,United States,North America,Americas,90019-5635,,,"7,621,911.16",174.98,,4.3,,"204,167",3/7/2023,3/7/2023,,Confirmed,Research Complete,,64,No,No,,,"242,691","485,391","728,082",2022,659,,,,,,,"11040 Santa Monica Blvd, 490",Los Angeles,Sepehr Kamjoo,3104810303,,,Individual,CA,Santa Monica Blvd,11040,Private,90025-7515,,,MM2023 Business Trust,Ryan Dykmans,,,,,,,,,,,,,,,,,,,,6326991,,,,0.282530784500001,,,0142858,"700,000",,06037,,"525,000",First Republic Bank,,,Yes,AO,0.57,,,,"75,089",,<1 Month,,,,33.33,,,,34.0441337,,"16820 Ventura Blvd, 230",Anie,Mayelian,Encino,8183805100,CA,Ventura Blvd,16820,,,91436-1754,,-118.3428563,,,,,Los Angeles,,,"39,490",4,2,0,,0,8,,0,,,4(1 + 1) ,,5067-009-048,5067-009-048,,2.02,,,Los Angeles,Los Angeles,,CA,,,,,,309.66,,Saturn St,4834,,,11220718,,,,,,Investment,Independent,,,,,,,Elena Barajas,,,,Individual,,,,Private,,12113 Cherrylee Dr,El Monte,"The Martinez and Cazares Family Trust, U/A",,,CA,Cherrylee Dr,12113,,,91732-1509,,"3,956",,,Full,,Mid-Wilshire,RU0       ,,,,"33,347.00","On 3/7/2023, the 6-unit multifamily property located at 4834 Saturn Street in Los Angeles, CA was sold for $ 1,225,000 or approximately $ 204,167 per unit. The class C, 2-star apartment building sits on 0.160721 acres of land zoned LARD1.5. The property lies between South Longwood Avenue and South Rimpau Boulevard in the Mid-City neighborhood of Los Angeles County.

The property was purchased with no special conditions noted.  

The information in this report was sourced via the deed and public record. The details were confirmed with the selling party involved in the transaction.
","1,347.50",2(2 + 1) ,1978,,,
415 W Riverside Dr,Burbank,CA,Multi-Family,"4,292",2 Star,"$1,900,000",442.68,3/6/2023,Sold,"1,995,000",2.10,,,Arbitrage Real Estate Group,,Local,Marcus & Millichap,Carol Derry,,National,Marcus & Millichap,Apartments,C,1954,10,0.20,8706,2,,BUR4*,Rancho Adjacent,Urban,Los Angeles,United States,North America,Americas,91506-3223,,,"9,506,547.21",218.24,,3.0,,"190,000",3/6/2023,3/6/2023,,Confirmed,Research Complete,,69,No,No,"Air Conditioning, Public Transportation",,"107,401","41,552","148,953",2022,,,Adequate,,,,,3500 N Verdugo Rd,Glendale,Albert Hairapetian,8182442939,,N,Developer/Owner-RGNL,CA,Verdugo Rd,3500,Private,91208-1241,,,Northwest Mutual LlC,,8182442939,,,,,,,"16830 Ventura Blvd, 100",Michael,Sterman,Encino,8182122700,CA,Ventura Blvd,16830,,,91436-1707,,6325499,,,,0.24649698041199,,,0139241,,,06037,,"1,520,000",,,Lender Name: Milch Caesar,Yes,B and X,0.49,,,21.7,,,20+ Years,,,,72.10,,,,34.1620904,,"16830 Ventura Blvd, 100",Michael,Sterman,Encino,8182122700,CA,Ventura Blvd,16830,,,91436-1707,,-118.3079111,,,,,Los Angeles,31,,,4,0,0,,0,10,,6,,,4(1 + 1) ,,5625-029-009,5625-029-009,,2.33,,,Burbank,Los Angeles,,CA,,,,,,442.68,,Riverside Dr,415,,W,13888981,,,,,,Investment,Independent,,,,,1216 S Chavez St,Burbank,Carol Derry,8188431375,,S,Other - Private,CA,Chavez St,1216,Private,91506,,,Carol Derry Trust,,8188431375,,,,,,,,"4,292",,,,6(0 + 1) ,Burbank,0EM       ,,,,,"On March 6th, 2023, this 10 unit multi-family property in Burbank, California sold for $1,900,000 which has been confirmed",,,2146,,,
111 N Gale Dr,Beverly Hills,CA,Multi-Family,"5,462",2 Star,"$4,100,000",750.64,3/3/2023,Sold,,,,,Lucent Capital,,Local,Marcus & Millichap,Twinwood Inc,,Local,,Apartments,C,1953,6,0.15,6499,2,,BHR475,Beverly Hills,Urban,Los Angeles,United States,North America,Americas,90211,,,"27,480,535.47",630.87,,6.5,,"683,333",3/3/2023,3/13/2023,,Confirmed,Research Complete,,70,No,No,,,"309,622","562,970","872,592",2022,,,Adequate,Wood Frame,,,,"9454 Wilshire Blvd, 525",Beverly Hills,Adam Emrani,3108768454,,,Investment Manager,CA,Wilshire Blvd,9454,Institutional,90212-2931,,,,,,,,,,,,"1900 Avenue of the Stars, 2000",Neema,Ahadian,Los Angeles,3109095500,CA,Avenue of the Stars,1900,,,90067-4301,,6331729,,,Wood Frame,0.369740544612589,,,0137281,,None,06037,,,,,,Yes,B and X,0.84,,,,,,20+ Years,,,,35.48,,,,34.0654924,,,,,,,,,,,,,None,-118.3744194,,,,,Los Angeles,,,,0,0,0,,0,6,,6,,,,,4334-022-063,4334-022-063,,1.10,100.00%,,Beverly Hills,Los Angeles,,CA,90211,,,,,750.64,,Gale Dr,111,,N,5892534,,,,,"High Vacancy Property,Redevelopment Project",Investment,Independent,,,,,1700 Warnall Ave,Los Angeles,Paul Lim,3102777463,,,Other - Private,CA,Warnall Ave,1700,Private,90024-5339,,,,,,,,,,,,,"5,462",,,,,Beverly Hills/Century City/UCLA,8EK       ,,,,,"On March 3rd, 2023, the 5,462 total square footage multi-family building sold for 4.1 million dollars or $683,333 per unit. The property is located at 111 N Gale Dr Beverly Hills, CA 90211. This was an investment deal. The sale price and sale date detailed in this sale comparable report have been confirmed via the buyer, and all other details were provided via public record.",,,2403,,,
833 18th St,Santa Monica,CA,Multi-Family,"3,982",2 Star,"$2,925,000",734.56,3/2/2023,Sold,"3,100,000",6.79,,,Robert Shiri,,Local,,Keith B Lambert,,Local,Lambert Investments Inc,Apartments,C,1953,6,0.18,8002,2,,R2,Wilshire Montana,Urban,Los Angeles,United States,North America,Americas,90403-6735,,631-E7,"15,922,644.34",365.53,,6.6,,"487,500",3/2/2023,3/2/2023,,Confirmed,Research Complete,,70,No,No,,,"443,180","738,644","1,181,824",2022,,,Good,Wood Frame,2022 Est Tax @ $6790.00/Unit; 2022 Est Ops @ $2461.17/Unit,,2022 Est Tax @ $6790.00/Unit; 2022 Est Ops @ $2461.17/Unit,"2001 Wilshire Blvd, 320",Santa Monica,Robert Shiri,3108299943,,,Individual,CA,Wilshire Blvd,2001,Private,90403-5641,,,629 Palisades Llc,,,,,,,,,,,,,,,,,,,,,6323956,,,Wood Frame,0.248812299300576,,"

Property Description: Multi Family - 6 Units


Apartment Unit:     SFR


",0132960,,,06037,,,,,,Yes,B and X,0.50,,,,,,20+ Years,,,,37.50,,,,34.034689,,"2 Breeze Ave, 101",Francyne,Lambert,Venice,3104539656,CA,Breeze Ave,2,,,90291,,-118.49041,50.000x159.000,631,E,7,Los Angeles,112,,"140,585",4,2,0,,0,5,,0,1,,4(1 + 1) ,,4277-008-066,4277-008-066,,1.26,,,Santa Monica,Los Angeles,,CA,,,,,,734.56,,18th St,833,,,4207727,,,,,,Investment,Independent,,,,,833 18th St,Santa Monica,Keith Lambert,3103910821,,,Individual,CA,18th St,833,Private,90403-6735,,,,,,,,,,,,,"3,982",,,,,Santa Monica,5FT       ,,,,,"On March 2nd, 2023, Keith Lambert of Abbey LLC sold the property located at 833 18th St in Los Angeles County, California, to Robert Shiri of 629 Palisades LLC.  The subject property is a 6-unit Multi-Family Building that sold for $2,925,000 or $487,500 per unit.
",,1(2 + 1) 1(2 + 2) ,1991,32,,
4109 Warner Blvd,Burbank,CA,Multi-Family,"5,636",2 Star,"$2,445,000",433.82,3/2/2023,Sold,"2,499,777",1.55,,,Gourjian Law Group,,Local,Stevenson Real Estate Services,Walker Family Trust Survivors Trust A,,National,Pinnacle Estate Properties,Apartments,C,1946,6,0.22,9374,1,,BUR4*,Media Center,Urban,Los Angeles,United States,North America,Americas,91505,,,"11,361,659.91",260.83,,16.8,,"407,500",3/2/2023,3/7/2023,,Confirmed,Research Complete,,77,No,No,,,"1,377,000","918,000","2,295,000",2022,820,,Good,,,,,101 N Brand Blvd,Glendale,Varand Gourjian,8189560100,,N,Individual,CA,Brand Blvd,101,Private,91203-2639,"101 N Brand Blvd, 1220",Glendale,Cara Holdings LLC,,,CA,Brand Blvd,101,,N,91203-4626,"1111 N Brand Blvd, 250",Ante,Trinidad,Glendale,8189567001,CA,Brand Blvd,1111,,N,91202-3070,,6326879,,,,0.601230281865632,,,0133119,,,06037,,"1,500,000",,,Lender Name: Joseph M. Russell III Irrevocable Trust,Yes,B and X,0.60,,,,"129,682",,20+ Years,,,,60.00,,,,34.1493072,,1855 Cochran St,Chris,Smith,Simi Valley,8184341672,CA,Cochran St,1855,,,93065-2263,,-118.3433783,,,,,Los Angeles,36,,"37,800",0,6,0,,0,6,,0,1,,,,2485-013-024,2485-013-024,,1.06,,,Burbank,Los Angeles,,CA,91505,,,,,433.82,,Warner Blvd,4109,,,13880396,,,,,,Investment,Independent,,,,,3195 Griffon Ct,Simi Valley,Shawna Larson,8055841252,,,Trust,CA,Griffon Ct,3195,Private,93065-0500,3195 Griffon Ct,Simi Valley,Walker Family Trust Survivors Trust A,,8055841252,CA,Griffon Ct,3195,,,93065-0500,,"5,636",,,,,Burbank,8EL       ,,,Priority Title,"93,582.35","On March 2, 2023, this 5,636 square foot Class C multi-family building was sold for $2,445,000 or $407,500 per unit. This property was built in 1946 and sits on 0.22 acres zoned for BUR4. 

The buyer confirmed the price, square footage, sale date, no financing, no conditions, and buyer broker. Seller representatives were not available at this time. rirby

",,6(2 + 1) ,5636,,,
425 Venice Way,Inglewood,CA,Multi-Family,"4,063",2 Star,"$1,357,000",333.99,3/1/2023,Sold,,,,,Arthur & Debora Valner,,Local,,BHHS -  California Properties,,National,,Apartments,C,1960,6,0.14,6090,2,,"R3YY, Ingelwood",Inglewood,Urban,Los Angeles,United States,North America,Americas,90302-2039,,,"9,706,226.60",222.82,,3.4,,"226,167",3/1/2023,3/8/2023,,Full Value,Research Complete,,63,No,No,,,"216,602","532,230","748,832",2022,600,,Adequate,Masonry,,,,"256 26th St, 201",Santa Monica,Arthur Valner,3102830135,,,Individual,CA,26th St,256,Private,90402,,,,,,,,,,,,,,,,,,,,,,,,6327918,,,Masonry,0.424159661381667,,,0129938,,,06037,,"705,000",City First Bank,,Lender Name: City First Bank Na,Yes,B and X,0.67,,,,,,5 Months,,,,28.93,,,,33.972408,,,,,,,,,,,,,,-118.363492,,,,,Los Angeles,,,,1,5,0,,0,4,,0,,,,,4017-013-015,4017-013-015,,1.00,100.00%,,Inglewood,Los Angeles,,CA,,,,,,333.99,,Venice Way,425,,,5450000,,,,,,Investment,Independent,,,,,73700 El Paseo,Palm Desert,Hector Ayala,7603222039,,,Corporation,CA,El Paseo,73700,User,92260,,,,,,,,,,,,,"4,063",,,,,Greater Inglewood,1EU       ,,,,,"The 6 unit multi-family residential building was sold for $226,166 per unit. The 4,063 square foot building is zoned R-3 residential and sits on 0.14 acres of land. This information was obtained via public record.",,5(2 + 1) ,2583,,,
11853 Eucalyptus Ave,Hawthorne,CA,Multi-Family,"9,796",2 Star,"$3,400,000",347.08,2/28/2023,Sold,,4.36,,,Blake M Wilsonhayden,,National,Avenue Realty Group,James A Ingraham,,National,Avenue Realty Group,Apartments,C,1959,16,0.47,20621,2,,HAR3YY,Hawthorne,Urban,Los Angeles,United States,North America,Americas,90250-2857,,,"7,182,192.91",164.88,,2.8,,"212,500",,2/28/2023,,Confirmed,Research Complete,,64,No,No,,,"248,033","137,672","385,705",2022,,,Adequate,Masonry,,,,20095 E Rogers Dr,Orange,Blake Wilsonhayden,9492910584,,E,Individual,CA,Rogers Dr,20095,Private,92869,1114 W 117th St,Los Angeles,B & G Realty Llc,,9492910584,CA,117th St,1114,,W,90044-1229,"2510 Main St, C",John,Mociak,Santa Monica,3103108624,CA,Main St,2510,,,90405-3535,,6320061,,,Masonry,0.237521351705013,,,,,,06037,,,,,,Yes,B and X,0.48,,,12.78,,,92 Months,,,,64.31,,,,33.926273,Tract # 1084 E 165 Ft Of W 265 Ft Of Lot/Sec 34,"2510 Main St, C",Jonathan,Rawson,Santa Monica,3103108624,CA,Main St,2510,,,90405-3535,,-118.359363,,,,,Los Angeles,,,,14,2,0,,0,16,,0,,,14(1 + 1) ,,4044-027-010,4044-027-010,,2.25,93.75%,,Hawthorne,Los Angeles,,CA,,,,,,347.08,,Eucalyptus Ave,11853,,,5449047,,,,,1031 Exchange,Investment,Independent,,,,,21341 Bullhead Cir,Huntington Beach,James Ingraham,7149650698,,,Other - Private,CA,Bullhead Cir,21341 ,Private,92646,21341 Bulkhead Cir,Huntington Beach,Tropic Winds Llc,,,CA,Bulkhead Cir,21341,,,92646-7204,,"9,796",,,,,South Bay,5EW       ,,,,,"This transaction represents the investment sale of a 16 unit class C multifamily property located in Hawthorne, CA. The property sold off market for $3,400,000 according to the listing and buyer broker. 1 unit delivered vacant at close of escrow. Buyer received a $100,000 credit at closing from Seller for non-recurring closing costs to updated the HVAC systems for both buildings & all units. 

",,2(2 + 1) ,4898,,,
3330 S Canfield Ave,Los Angeles,CA,Multi-Family,"8,522",2 Star,"$2,625,000",308.03,2/28/2023,Sold,"2,625,000",3.01,,,Financial Express,,National,,Mildred Veach,,National,Chris Huddleston,Apartments,C,1956,8,0.18,8015,2,,LAR3,Cheviot Hills,Urban,Los Angeles,United States,North America,Americas,90034,,,"14,266,375.55",327.51,,4.1,,"328,125",2/28/2023,3/1/2023,,Confirmed,Research Complete,,67,No,No,Air Conditioning,,"194,231","69,734","263,965",2022,,,Adequate,Wood Frame,,,,"2236 Encinitas Blvd, C",Encinitas,Adam Rosenberg,7607535528,,,Individual,CA,Encinitas Blvd,2236,Private,92024-4352,2122 Encinitas Blvd,Encinitas,"Canfield Venice, LP",,7607530753,CA,Encinitas Blvd,2122,,,92024-4304,,,,,,,,,,,,,6321376,,,Wood Frame,0.467870403641155,,,0127291,,,06037,,,,,,Yes,B and X,1.06,,,15.37,,,20+ Years,,,,73.58,,,,34.030318,,112 S Edinburgh Ave,Chris,Huddleston,Los Angeles,2132681515,CA,Edinburgh Ave,112,,S,90048,,-118.3947389,,,,,Los Angeles,37,,,0,0,0,,0,7,,8,,,,,4311-025-007,4311-025-007,,0.82,,,Los Angeles,Los Angeles,,CA,90034,,,,,308.03,,Canfield Ave,3330,,S,5446157,,,,,1031 Exchange,Investment,Independent,,,,,,Bonsall,Mildred Veach,7607244119,,,Individual,CA,,,Private,92003,,Bonsall,Mildred Veach,,7607244119,CA,,,,,92003,,"8,522",,,,8(0 + 0) ,Greater Culver City,0ER       ,,,,,"The apartments on 3330 S Canfield Ave were sold on February 28, 2022, for a confirmed price of $2,625,000.  The property was an 8-unit 8,522 square foot multi-family building that was purchase as 1031 exchange deal.  The transaction took place in Los Angeles County, California.

",,,3750,,,
